group	need	cache_path	asset_path	url	fallback_url	sha1_b32	bytes	licence	note
sankey	required	tools/cache/midi/sankey/772-786.zip		http://www.jsbach.net/midi/sankey/772-786.zip			32246	SANKEY	(Inventions) Last-Modified 1998-01-02
sankey	required	tools/cache/midi/sankey/787-801.zip		http://www.jsbach.net/midi/sankey/787-801.zip			32102	SANKEY	(Sinfonias) Last-Modified 1998-01-04
sankey	required	tools/cache/midi/sankey/846-869.zip		http://www.jsbach.net/midi/sankey/846-869.zip			145153	SANKEY	(WTC I) Last-Modified 1997-10-25
sankey	required	tools/cache/midi/sankey/870-881.zip		http://www.jsbach.net/midi/sankey/870-881.zip			75637	SANKEY	(WTC II 1–12) Last-Modified 1997-10-25
sankey	required	tools/cache/midi/sankey/806-811.zip		http://www.jsbach.net/midi/sankey/806-811.zip			110534	SANKEY	(English Suites) Last-Modified 1997-10-25
sankey	required	tools/cache/midi/sankey/812-817.zip		http://www.jsbach.net/midi/sankey/812-817.zip			59590	SANKEY	(French Suites) Last-Modified 1997-10-25
sankey	required	tools/cache/midi/sankey/825-830.zip		http://www.jsbach.net/midi/sankey/825-830.zip			110497	SANKEY	(Partitas) Last-Modified 2005-09-14
sankey	required	tools/cache/midi/sankey/910-916.zip		http://www.jsbach.net/midi/sankey/910-916.zip			86068	SANKEY	(Toccatas) Last-Modified 2005-09-14
sankey	required	tools/cache/midi/sankey/972-987.zip		http://www.jsbach.net/midi/sankey/972-987.zip			151298	SANKEY	(Concerto transcriptions) Last-Modified 1998-02-03
sankey	required	tools/cache/midi/sankey/bwv988.zip		http://www.jsbach.net/midi/sankey/bwv988.zip			58273	SANKEY	(Goldberg) Last-Modified 2005-09-14
sankey	required	tools/cache/midi/sankey/misc1.zip		http://www.jsbach.net/midi/sankey/misc1.zip			68757	SANKEY	(BWV 963, 965, 966, 967, 989, **992**, 993) Last-Modified 1998-01-02
sankey	required	tools/cache/midi/sankey/misc3.zip		http://www.jsbach.net/midi/sankey/misc3.zip			45305	SANKEY	(BWV 894, 895, 899, 900, 901, **903**) Last-Modified 1998-02-23
sankey	required	tools/cache/midi/sankey/bwv971.mid	app/src/main/assets/midi/sankey/bach/bwv971.mid	http://www.jsbach.net/midi/sankey/bwv971.mid			54302	SANKEY	(Italian Concerto) Last-Modified 1998-02-07
sankey	required	tools/cache/midi/sankey/scarlatti.zip		https://www.johnsankey.ca/data/scarlatti.zip			1434446	SANKEY	(K. 1–555) Last-Modified 2022-08-24 (same size as the 2005 sankey.ws copy)
sankey	required	tools/cache/midi/sankey/SANKEY.txt	app/src/main/assets/licenses/SANKEY.txt	https://www.johnsankey.ca/copyright.html				SANKEY	fetch text verbatim at download time
commons	required	tools/cache/midi/commons/beethoven_op126_bednarek.mid	app/src/main/assets/midi/commons/beethoven_op126_bednarek.mid	https://upload.wikimedia.org/wikipedia/commons/7/7a/Ludwig_van_Beethoven_-_Bagatelles_Op._126.mid			185829	CC0	send descriptive User-Agent
commons	required	tools/cache/midi/commons/mozart_k281_bednarek.mid	app/src/main/assets/midi/commons/mozart_k281_bednarek.mid	https://upload.wikimedia.org/wikipedia/commons/5/5b/W._A._Mozart%2C_Piano_Sonata_No._3%2C_K_281.mid			112952	CC0	send descriptive User-Agent
commons	required	tools/cache/midi/commons/mozart_k265_bednarek.mid	app/src/main/assets/midi/commons/mozart_k265_bednarek.mid	https://upload.wikimedia.org/wikipedia/commons/4/47/K265_%28Ah_vous_dirai-je%2C_Maman%29.mid			44090	PD-self	send descriptive User-Agent
commons	required	tools/cache/midi/commons/beethoven_op33_1_bednarek.mid	app/src/main/assets/midi/commons/beethoven_op33_1_bednarek.mid	https://upload.wikimedia.org/wikipedia/commons/a/a9/Beethoven_Op._33_no._1.mid			9014	PD-self	send descriptive User-Agent
commons	required	tools/cache/midi/commons/beethoven_op33_4_bednarek.mid	app/src/main/assets/midi/commons/beethoven_op33_4_bednarek.mid	https://upload.wikimedia.org/wikipedia/commons/9/9d/Beethoven_Op._33_no._4.mid			8636	PD-self	send descriptive User-Agent
commons	required	tools/cache/midi/commons/cpe_bach_solfeggietto_nieb.mid	app/src/main/assets/midi/commons/cpe_bach_solfeggietto_nieb.mid	https://upload.wikimedia.org/wikipedia/commons/0/00/C_P_E_Bach_Solfeggio.mid			7605	CC BY-SA 3.0 / GFDL	send descriptive User-Agent
commons	required	tools/cache/midi/commons/rameau_tambourin_frantz.mid	app/src/main/assets/midi/commons/rameau_tambourin_frantz.mid	https://upload.wikimedia.org/wikipedia/commons/e/e0/RAMEAU_Tambourin.mid			5524	PD	send descriptive User-Agent
mutopia	required	tools/cache/midi/mutopia/rameau_tendres_plaintes.mid	app/src/main/assets/midi/mutopia/rameau_tendres_plaintes.mid	https://www.mutopiaproject.org/ftp/RameauJP/plaintes/plaintes.mid			6061	PD	
mutopia	required	tools/cache/midi/mutopia/rameau_sauvages.mid	app/src/main/assets/midi/mutopia/rameau_sauvages.mid	https://www.mutopiaproject.org/ftp/RameauJP/sauvages/sauvages.mid			7171	PD	
mutopia	required	tools/cache/midi/mutopia/cpe_bach_rondo_h288.mid	app/src/main/assets/midi/mutopia/cpe_bach_rondo_h288.mid	https://www.mutopiaproject.org/ftp/BachCPE/cpe-bach-rondo/cpe-bach-rondo.mid			15220	PD	
mutopia	required	tools/cache/midi/mutopia/mozart_k397.mid	app/src/main/assets/midi/mutopia/mozart_k397.mid	https://www.mutopiaproject.org/ftp/MozartWA/KV397/Fantasia/Fantasia.mid			13485	PD	
mutopia	required	tools/cache/midi/mutopia/mozart_k457_1.mid	app/src/main/assets/midi/mutopia/mozart_k457_1.mid	https://www.mutopiaproject.org/ftp/MozartWA/KV457/sonata1/sonata1.mid			20899	PD	
mutopia	required	tools/cache/midi/mutopia/mozart_k457_2.mid	app/src/main/assets/midi/mutopia/mozart_k457_2.mid	https://www.mutopiaproject.org/ftp/MozartWA/KV457/sonata2/sonata2.mid			17611	PD	
mutopia	required	tools/cache/midi/mutopia/mozart_k457_3.mid	app/src/main/assets/midi/mutopia/mozart_k457_3.mid	https://www.mutopiaproject.org/ftp/MozartWA/KV457/sonata3/sonata3.mid			21088	PD	
mutopia	required	tools/cache/midi/mutopia/beethoven_op31_2_1.mid	app/src/main/assets/midi/mutopia/beethoven_op31_2_1.mid	https://www.mutopiaproject.org/ftp/BeethovenLv/O31/LVB_Sonate_31no2_1/LVB_Sonate_31no2_1.mid			26263	PD	
mutopia	required	tools/cache/midi/mutopia/beethoven_op31_2_2.mid	app/src/main/assets/midi/mutopia/beethoven_op31_2_2.mid	https://www.mutopiaproject.org/ftp/BeethovenLv/O31/LVB_Sonate_31no2_2/LVB_Sonate_31no2_2.mid			14632	PD	
mutopia	required	tools/cache/midi/mutopia/beethoven_op49_2_1.mid	app/src/main/assets/midi/mutopia/beethoven_op49_2_1.mid	https://www.mutopiaproject.org/ftp/BeethovenLv/O49/LVB_Sonate_49no2_1/LVB_Sonate_49no2_1.mid			14953	PD	
mutopia	required	tools/cache/midi/mutopia/beethoven_op49_2_2.mid	app/src/main/assets/midi/mutopia/beethoven_op49_2_2.mid	https://www.mutopiaproject.org/ftp/BeethovenLv/O49/LVB_Sonate_49no2_2/LVB_Sonate_49no2_2.mid			11560	PD	
mutopia	required	tools/cache/midi/mutopia/beethoven_op111_1.mid	app/src/main/assets/midi/mutopia/beethoven_op111_1.mid	https://www.mutopiaproject.org/ftp/BeethovenLv/O111/lvb_sonate_111_1/lvb_sonate_111_1.mid			47339	PD	
mutopia	required	tools/cache/midi/mutopia/beethoven_op129.mid	app/src/main/assets/midi/mutopia/beethoven_op129.mid	https://www.mutopiaproject.org/ftp/BeethovenLv/O129/beethoven_rondo_op129/beethoven_rondo_op129.mid			46761	PD	
imslp	user-click	tools/cache/midi/imslp/handel_hwv430_gouin.mid	app/src/main/assets/midi/imslp/handel_hwv430_gouin.mid	https://imslp.org/wiki/Special:ImagefromIndex/365752			~20000	CC-BY-SA-4.0	"user must click IMSLP ""I understand""; 0.02 MB / 4:06"
imslp	user-click	tools/cache/midi/imslp/rameau_la_poule_gouin.mid	app/src/main/assets/midi/imslp/rameau_la_poule_gouin.mid	https://imslp.org/wiki/Special:ImagefromIndex/340106			~20000	CC-BY-SA-4.0	"user must click IMSLP ""I understand""; 0.02 MB / 4:33"
madore	conditional	tools/cache/midi/madore/couperin_barricades.mid	app/src/main/assets/midi/madore/couperin_barricades.mid	http://www.madore.org/~david/music/midi/couperin.mid			5803	NONE-STATED	excluded unless David Madore grants CC0
krueger	required	tools/cache/midi/krueger/bach_846.mid	app/src/main/assets/midi/krueger/bach/bach_846.mid	http://www.piano-midi.de/midis/bach/bach_846.mid	https://web.archive.org/web/20051106043322id_/http://www.piano-midi.de/midis/bach/bach_846.mid	O5M3TGSHC4K3UAGV22HXFR5YHVD2EXJJ	11KB	CC-BY-SA-3.0-DE	site duration 3:46
krueger	required	tools/cache/midi/krueger/bach_847.mid	app/src/main/assets/midi/krueger/bach/bach_847.mid	http://www.piano-midi.de/midis/bach/bach_847.mid	https://web.archive.org/web/20051106042842id_/http://www.piano-midi.de/midis/bach/bach_847.mid	UHKM4GXAFTRLVO4REVDVPNRH4VKQF3VG	15KB	CC-BY-SA-3.0-DE	site duration 3:09
krueger	required	tools/cache/midi/krueger/bach_850.mid	app/src/main/assets/midi/krueger/bach/bach_850.mid	http://www.piano-midi.de/midis/bach/bach_850.mid	https://web.archive.org/web/20051106042906id_/http://www.piano-midi.de/midis/bach/bach_850.mid	ALJTLIPWUSBPP5MSUSSQITNYVZKBLXPR	12KB	CC-BY-SA-3.0-DE	site duration 2:53
