tier	group	need	filename	trigger_key	bytes	licence	url	remark
core	grand-sustain	required	A0v1.flac	21	2164885	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/A0v1.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	A0v4.flac	21	2607698	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/A0v4.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	A0v7.flac	21	2764837	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/A0v7.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	A0v10.flac	21	2799401	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/A0v10.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	A0v13.flac	21	2814539	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/A0v13.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	A0v16.flac	21	2864588	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/A0v16.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	C1v1.flac	24	2438456	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/C1v1.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	C1v4.flac	24	2479481	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/C1v4.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	C1v7.flac	24	2507952	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/C1v7.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	C1v10.flac	24	2522080	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/C1v10.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	C1v13.flac	24	2551193	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/C1v13.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	C1v16.flac	24	2585455	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/C1v16.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
core	grand-sustain	required	D#1v1.flac	27	2169326	CC-BY-3.0 (author declared public domain 2022-03-04)	https://raw.githubusercontent.com/sfzinstruments/SalamanderGrandPiano/master/Samples/D%231v1.flac	leading-silence trim: see Data/vel_XX.txt $OFFnn (samples @48k)
