t_s,battery_c,thermal_status,q,cpu_ms_hkaudio,cpu_ms_gl,cpu_ms_prefetch,cpu_ms_voicer,cpu_ms_main,fps,late_frames,underruns,headroom_min,majflt,brightness,movement,position_ms,plan
0,24.0,0,0,340,1290,0,80,810,10.0,1,0,0,0,-1.00,none,-400,therm30
10,24.0,0,0,5750,2370,110,80,1250,30.0,2,0,4160,0,-1.00,none,9445,therm30
20,24.0,0,0,11690,3440,230,80,1660,30.0,2,0,5125,0,-1.00,none,19458,therm30
30,24.0,0,0,17410,4580,370,80,2070,30.0,3,0,5122,0,-1.00,none,29473,therm30
40,24.0,0,0,23590,5560,490,80,2450,30.0,3,0,5117,0,-1.00,none,39486,therm30
50,24.0,0,0,29670,6620,610,80,2820,30.0,3,0,5127,0,-1.00,none,49503,therm30
60,24.0,0,0,35700,7680,730,80,3210,30.0,3,0,5120,0,-1.00,none,59518,therm30
70,24.0,0,0,41700,8760,840,80,3590,30.0,3,0,5101,0,-1.00,none,69529,therm30
80,24.0,0,0,47340,9890,950,80,4000,30.0,4,0,5120,0,-1.00,none,79542,therm30
90,24.0,0,0,53090,10980,1050,80,4390,30.0,4,0,5118,0,-1.00,none,89553,therm30
100,24.0,0,0,58980,12060,1150,80,4780,30.0,4,0,5109,0,-1.00,none,99565,therm30
110,24.0,0,0,64430,13260,1250,80,5190,30.0,4,0,5092,0,-1.00,none,109580,therm30
120,24.0,0,0,70390,14320,1360,80,5580,30.0,4,0,5102,0,-1.00,none,119592,therm30
130,24.0,0,0,76650,15320,1480,80,5940,30.0,4,0,5035,0,-1.00,none,129601,therm30
140,24.0,0,0,82550,16410,1600,80,6330,30.0,4,0,5119,0,-1.00,none,139615,therm30
150,24.0,0,0,88380,17560,1700,80,6720,30.0,4,0,5105,0,-1.00,none,149632,therm30
160,24.0,0,0,94090,18700,1810,80,7130,30.0,5,0,5066,0,-1.00,none,159647,therm30
170,24.0,0,0,99980,19860,1960,80,7540,30.0,5,0,5117,0,-1.00,none,169664,therm30
180,24.0,0,0,106120,20910,2080,80,7930,30.0,6,0,5123,0,-1.00,none,179677,therm30
190,24.0,0,0,112120,21990,2190,80,8310,30.0,6,0,5124,0,-1.00,none,189691,therm30
200,24.0,0,0,117940,23050,2300,80,8680,30.0,6,0,5067,0,-1.00,none,199702,therm30
210,24.0,0,0,123780,24090,2420,80,9050,30.0,6,0,5129,0,-1.00,none,209715,therm30
220,24.0,0,0,129390,25210,2520,80,9440,30.0,6,0,5125,0,-1.00,none,219728,therm30
230,24.0,0,0,135150,26320,2630,80,9820,30.0,6,0,5117,0,-1.00,none,229742,therm30
240,24.0,0,0,141020,27390,2730,80,10210,30.0,6,0,5087,0,-1.00,none,239757,therm30
250,24.0,0,0,146390,28560,2830,80,10610,30.0,6,0,5124,0,-1.00,none,249775,therm30
260,24.0,0,0,152260,29620,2930,80,10990,30.0,6,0,5129,0,-1.00,none,259788,therm30
